date,category,amount,first_name,last_name,email,monthly_budget
2025-09-24 14:06:33.217965,Bills,179.29,Rayane,Mtar,rayane@example.com,1200.0
2025-09-15 14:06:33.220965,Shopping,69.91,Rayane,Mtar,rayane@example.com,1200.0
2025-10-07 14:06:33.220965,Shopping,35.19,Rayane,Mtar,rayane@example.com,1200.0
2025-09-10 14:06:33.220965,Shopping,168.93,Rayane,Mtar,rayane@example.com,1200.0
2025-09-18 14:06:33.220965,Shopping,67.51,Rayane,Mtar,rayane@example.com,1200.0
2025-09-30 14:06:33.220965,Food,133.97,Rayane,Mtar,rayane@example.com,1200.0
2025-09-23 14:06:33.220965,Transport,14.13,Rayane,Mtar,rayane@example.com,1200.0
2025-09-11 14:06:33.220965,Entertainment,194.86,Rayane,Mtar,rayane@example.com,1200.0
2025-09-09 14:06:33.220965,Transport,150.56,Rayane,Mtar,rayane@example.com,1200.0
2025-09-23 14:06:33.220965,Transport,96.49,Rayane,Mtar,rayane@example.com,1200.0
